"","RSV","Plot","forestType","n_trees_field","n_trees_itd","avg_height_field","avg_height_itd","avg_distance_to_nearest","avg_height_difference"
"1","14","C06","Coniferous",28,9,28.725,36.3475553724501,3.31604494216528,10.0007502419608
"2","14","C07","Coniferous",29,14,30.9068965517241,37.9830000741141,3.08810804796716,8.09975403902824
"3","14","C08","Coniferous",29,10,31.2230769230769,38.8344985961914,3.09803090741952,7.81646895810783
"4","14","D04","Mixed",26,12,30.624,37.4647509256999,2.97256121798781,7.5514904304787
"5","14","D08","Mixed",31,11,31.1645161290323,38.0405453768644,3.03465472768515,7.27054671692334
"6","14","D10","Mixed",111,12,17.4565656565657,33.1818339029948,3.01012746231207,10.7036514410452
"7","14","D12","Mixed",86,24,18.3084337349398,26.118291536967,2.71294228698392,10.1375018015829
"8","14","E04","Mixed",27,11,30.2481481481481,38.0530915693803,2.74854821266519,9.99171578856721
"9","14","E05","Mixed",24,11,33.5875,40.5385450883345,2.75701726577547,9.83391691228395
"10","14","E08","Mixed",36,16,25.1264705882353,32.3576879501343,2.74686504256413,9.68852735622763
"11","14","E11","Mixed",80,14,19.3931506849315,33.6077864510672,2.74273589948726,10.3821109078871
"12","14","E13","Mixed",27,20,22.8481481481481,23.8837501525879,2.73841155074032,9.88002393820541
"13","14","F02","Mixed",45,28,15.8536585365854,19.5511431012835,2.70227714289478,9.47107156478073
"14","14","F14","Mixed",99,11,20.2285714285714,30.8069999001243,2.75245231465785,9.59188603856107
"15","14","F17","Coniferous",33,32,26.9870967741935,25.0400936603546,2.71808495937117,9.08859681881447
"16","14","G01","Mixed",40,30,10.9583333333333,17.4251996358236,2.66536619685855,9.01423217860881
"17","14","G12","Coniferous",46,36,22.3913043478261,25.8267775641547,2.60057220558141,8.69037239730999
"18","14","G13","Mixed",36,25,23.5361111111111,25.9592401123047,2.57340440735322,8.40491674961188
"19","14","G17","Mixed",33,11,25.5307692307692,37.9370900934393,2.59448684959226,8.54296034441397
"20","14","G19","Mixed",63,28,12.7950819672131,17.908285685948,2.55397529230228,8.32853980322886
"21","14","H02","Mixed",41,25,15.0657894736842,20.4816799926758,2.52503870327341,8.25741656392978
