"","RSV","Plot","forestType","tree_id_field","dist_to_nearest_itd","height_diff_with_nearest"
"1","14","C06","Coniferous",3,1.05255696467203,5.8570053100586
"2","14","C06","Coniferous",4,3.22956306516385,5.1570053100586
"3","14","C06","Coniferous",5,1.22099915233544,11.7230010986328
"4","14","C06","Coniferous",7,5.91889266865941,5.1570053100586
"5","14","C06","Coniferous",8,1.55818612495473,8.2600036621094
"6","14","C06","Coniferous",10,5.56238030480878,2.8929992675781
"7","14","C06","Coniferous",12,1.00712878092301,13.6929992675781
"8","14","C06","Coniferous",13,5.01312554442188,10.1230010986328
"9","14","C06","Coniferous",15,4.43963331820763,6.4929992675781
"10","14","C06","Coniferous",17,0.847162889636608,6.4790008544922
"11","14","C06","Coniferous",19,5.96183380748644,22.0790008544922
"12","14","C06","Coniferous",21,4.25406376499959,-8.4530044555664
"13","14","C06","Coniferous",22,2.95261498893314,14.0469955444336
"14","14","C06","Coniferous",23,4.72677689381517,13.6790008544922
"15","14","C06","Coniferous",24,5.1414736595611,11.2790008544922
"16","14","C06","Coniferous",26,0.298303359959873,19.1829971313477
"17","14","C06","Coniferous",28,3.6738265051268,24.5829971313477
"18","14","C06","Coniferous",30,0.930166830222251,1.1689971923828
"19","14","C06","Coniferous",32,3.01534628644052,-2.4830017089844
"20","14","C06","Coniferous",36,3.3053449718721,8.6600036621094
"21","14","C06","Coniferous",37,1.03603412835723,-4.3769989013672
"22","14","C06","Coniferous",40,5.77952830153046,14.8600036621094
"23","14","C06","Coniferous",42,4.72705148015465,38.2929992675781
"24","14","C06","Coniferous",46,3.26462556727655,14.6790008544922
"25","14","C06","Coniferous",48,3.68074619850761,12.8790008544922
"26","14","C06","Coniferous",50,4.33647609414483,9.6790008544922
"27","14","C06","Coniferous",60,4.48943301170003,3.0469955444336
"28","14","C06","Coniferous",61,1.42598371675606,11.3829971313477
"29","14","C07","Coniferous",1,3.27452834772124,3.8070053100586
"30","14","C07","Coniferous",2,1.96268180846251,0.307998657226598
"31","14","C07","Coniferous",3,2.63738537924663,3.0059951782227
"32","14","C07","Coniferous",5,3.11766719576619,0.307998657226598
"33","14","C07","Coniferous",7,4.55539932225961,6.2269973754883
"34","14","C07","Coniferous",8,3.52125400468584,0.948004150390595
"35","14","C07","Coniferous",9,3.45313084296705,15.8269973754883
"36","14","C07","Coniferous",12,3.05599273390459,2.0199966430664
"37","14","C07","Coniferous",14,2.70851509484029,33.0480041503906
"38","14","C07","Coniferous",15,0.688709849686243,2.4199966430664
"39","14","C07","Coniferous",17,2.79884278321467,7.3930023193359
"40","14","C07","Coniferous",18,3.2972363500077,5.1219955444336
"41","14","C07","Coniferous",21,4.17728371312263,2.5480041503906
"42","14","C07","Coniferous",26,4.03379911275576,0.068995666503902
"43","14","C07","Coniferous",27,2.10736859046069,2.5239959716797
"44","14","C07","Coniferous",28,1.56586437705382,7.4070053100586
"45","14","C07","Coniferous",29,1.76008879076574,0.984004211425805
"46","14","C07","Coniferous",30,1.49925973737604,30.2079986572266
"47","14","C07","Coniferous",31,2.7952853736144,5.4059951782227
"48","14","C07","Coniferous",33,2.83640863032638,2.5079986572266
"49","14","C07","Coniferous",35,4.88115857150122,1.5079986572266
"50","14","C07","Coniferous",38,4.50142559400938,4.6059951782227
"51","14","C07","Coniferous",41,1.73059510512174,3.1090057373047
"52","14","C07","Coniferous",43,1.55308206954503,0.548004150390597
"53","14","C07","Coniferous",47,2.13702160953811,2.2199966430664
"54","14","C07","Coniferous",50,3.77244459823593,4.5219955444336
"55","14","C07","Coniferous",51,3.54954219532727,8.0219955444336
"56","14","C07","Coniferous",53,3.10712802598607,6.7219955444336
"57","14","C07","Coniferous",54,2.09380054599731,18.3199966430664
"58","14","C08","Coniferous",1,3.24171277850738,38.5140014648438
"59","14","C08","Coniferous",2,2.41491647519485,4.3880020141602
"60","14","C08","Coniferous",3,1.54022881837973,3.6739990234375
"61","14","C08","Coniferous",4,4.4848916375081,4.9880020141602
"62","14","C08","Coniferous",5,0.178079893304958,8.9029983520508
"63","14","C08","Coniferous",7,1.63283544793002,NA
"64","14","C08","Coniferous",8,5.70725716889353,-3.6970016479492
"65","14","C08","Coniferous",10,4.67073443979025,5.5029983520508
"66","14","C08","Coniferous",13,0.949027396848855,3.2129959106445
"67","14","C08","Coniferous",16,1.36457942820833,11.0399932861328
"68","14","C08","Coniferous",17,2.1448209971217,5.0399932861328
"69","14","C08","Coniferous",19,4.20826922987682,12.6519973754883
"70","14","C08","Coniferous",22,3.81258433349445,6.077995300293
"71","14","C08","Coniferous",23,3.99479234599836,6.6230026245117
"72","14","C08","Coniferous",25,5.1620656327699,5.777995300293
"73","14","C08","Coniferous",26,3.9660596538891,10.177995300293
"74","14","C08","Coniferous",28,2.96266173084025,2.2880020141602
"75","14","C08","Coniferous",29,3.33639833541935,0.288002014160199
"76","14","C08","Coniferous",30,3.91535804560554,7.9029983520508
"77","14","C08","Coniferous",31,4.40281184649483,NA
"78","14","C08","Coniferous",33,4.92818656039132,0.702998352050805
"79","14","C08","Coniferous",35,5.80579601267535,20.8129959106445
"80","14","C08","Coniferous",37,2.50928748868738,1.3129959106445
"81","14","C08","Coniferous",39,1.39337900611748,4.9140014648438
"82","14","C08","Coniferous",42,0.998334919573244,NA
"83","14","C08","Coniferous",44,3.09865074261786,5.0399932861328
"84","14","C08","Coniferous",45,2.61026958150751,7.1399932861328
"85","14","C08","Coniferous",47,1.82458885306285,8.05199737548831
"86","14","C08","Coniferous",48,3.14992050324138,5.7519973754883
"87","14","D04","Mixed",1,4.605238851665,5.6750045776367
"88","14","D04","Mixed",2,5.93314044188104,NA
"89","14","D04","Mixed",3,3.7597371238505,13.311003112793
"90","14","D04","Mixed",4,3.42308605820038,15.311003112793
"91","14","D04","Mixed",5,0.46158026160718,-2.088996887207
"92","14","D04","Mixed",7,3.03595786462791,17.1589981079102
"93","14","D04","Mixed",12,1.11285886279947,1.3459991455078
"94","14","D04","Mixed",17,1.69940441392731,2.5670013427734
"95","14","D04","Mixed",18,3.02599597737268,6.8009963989258
"96","14","D04","Mixed",20,4.13033407620006,9.1480056762695
"97","14","D04","Mixed",21,4.37662882658645,0.848005676269501
"98","14","D04","Mixed",23,2.60006869456684,-1.5519943237305
"99","14","D04","Mixed",24,0.65838590506058,-1.0520034790039
"100","14","D04","Mixed",27,0.85286537311989,7.2000045776367
"101","14","D04","Mixed",28,1.12673513657883,3.1669982910156
"102","14","D04","Mixed",30,4.14077804045938,4.6750045776367
"103","14","D04","Mixed",31,1.75015549079554,8.1750045776367
"104","14","D04","Mixed",38,1.78417552845213,5.63000030517581
"105","14","D04","Mixed",39,0.44301177723453,1.911003112793
"106","14","D04","Mixed",42,1.78147594938267,-0.174996948242203
"107","14","D04","Mixed",47,4.4224228134679,6.4300003051758
"108","14","D04","Mixed",48,2.42908022190629,35.2459991455078
"109","14","D04","Mixed",49,2.65976935814205,4.4459991455078
"110","14","D04","Mixed",51,1.40016298148449,6.3009963989258
"111","14","D04","Mixed",58,2.21795888085113,3.7670013427734
"112","14","D04","Mixed",59,2.66518946633539,12.5480056762695
"113","14","D08","Mixed",1,0.579549266067682,12.2019958496094
"114","14","D08","Mixed",3,3.86337946344136,5.9980072021484
"115","14","D08","Mixed",6,0.785188408165305,1.0980072021484
"116","14","D08","Mixed",8,6.49331801076562,11.5980072021484
"117","14","D08","Mixed",9,6.79852636001999,0.721000671386697
"118","14","D08","Mixed",11,4.46957190527252,1.2210006713867
"119","14","D08","Mixed",12,1.71289612687642,2.1530014038086
"120","14","D08","Mixed",15,2.2280168455615,3.504997253418
"121","14","D08","Mixed",17,2.6003759859189,28.4210006713867
"122","14","D08","Mixed",19,3.53156245070395,4.0900039672852
"123","14","D08","Mixed",23,4.50080371417168,4.7530014038086
"124","14","D08","Mixed",26,3.23430357513498,2.5999984741211
"125","14","D08","Mixed",27,1.85860615329166,7.3999984741211
"126","14","D08","Mixed",29,3.01991038545882,4.6530014038086
"127","14","D08","Mixed",31,3.75054632090495,2.0319976806641
"128","14","D08","Mixed",32,1.52630868918259,12.5009979248047
"129","14","D08","Mixed",33,1.77503796541177,3.6009979248047
"130","14","D08","Mixed",35,1.36956821046357,0.701995849609403
"131","14","D08","Mixed",36,2.06760247629728,-2.0019927978516
"132","14","D08","Mixed",37,3.07358858208624,5.3980072021484
"133","14","D08","Mixed",38,9.32340015575195,6.7210006713867
"134","14","D08","Mixed",40,2.3916798815966,1.2210006713867
"135","14","D08","Mixed",41,2.06287543518783,4.7210006713867
"136","14","D08","Mixed",45,2.26568877698176,1.004997253418
"137","14","D08","Mixed",47,1.79960932335887,5.0530014038086
"138","14","D08","Mixed",50,3.09688511918965,5.3900039672852
"139","14","D08","Mixed",52,4.79722698807459,21.3530014038086
"140","14","D08","Mixed",53,7.05513929934498,0.599998474121101
"141","14","D08","Mixed",54,3.78159028324551,14.0999984741211
"142","14","D08","Mixed",57,2.60291302881552,17.5360000610352
"143","14","D08","Mixed",58,2.61310045759887,4.6999984741211
"144","14","D10","Mixed",1,2.98789099135355,1.4579956054688
"145","14","D10","Mixed",3,1.50903012742462,32.0579956054688
"146","14","D10","Mixed",4,1.97107504314591,32.9510040283203
"147","14","D10","Mixed",5,1.50029808835621,1.5029998779297
"148","14","D10","Mixed",6,2.3019535927371,33.2510040283203
"149","14","D10","Mixed",7,0.243328695663372,3.9510040283203
"150","14","D10","Mixed",8,1.95232765875277,33.0510040283203
"151","14","D10","Mixed",9,2.79119966585192,32.4579956054688
"152","14","D10","Mixed",10,2.34958742443192,10.7289978027344
"153","14","D10","Mixed",13,2.86219001962969,33.406999206543
"154","14","D10","Mixed",15,0.213303165590546,3.1289978027344
"155","14","D10","Mixed",17,5.56666403474207,31.6289978027344
"156","14","D10","Mixed",18,3.19934197816052,34.5820053100586
"157","14","D10","Mixed",19,0.577470345538728,3.6820053100586
"158","14","D10","Mixed",20,2.5575981743626,4.7660064697266
"159","14","D10","Mixed",21,1.12110095498221,32.4660064697266
"160","14","D10","Mixed",22,2.38012640665089,32.4660064697266
"161","14","D10","Mixed",23,6.53679234817045,4.3820053100586
"162","14","D10","Mixed",24,6.0573741026298,13.2820053100586
"163","14","D10","Mixed",25,4.05078055656978,2.4660064697266
"164","14","D10","Mixed",27,2.12384960359,30.1789993286133
"165","14","D10","Mixed",30,2.76807383062254,17.3789993286133
"166","14","D10","Mixed",33,1.30828174610079,4.2789993286133
"167","14","D10","Mixed",34,4.46818954147629,6.5789993286133
"168","14","D10","Mixed",36,2.52801380669373,7.7029998779297
"169","14","D10","Mixed",37,3.08495748294446,9.9789993286133
"170","14","D10","Mixed",38,2.55626114082288,14.5789993286133
"171","14","D10","Mixed",39,3.75895936092904,0.960000610351603
"172","14","D10","Mixed",40,3.81537311414097,NA
"173","14","D10","Mixed",41,4.40604322282153,7.2789993286133
"174","14","D10","Mixed",42,2.04187148867724,11.2600006103516
"175","14","D10","Mixed",43,1.90868622614469,7.8600006103516
