"RSVCODE","RUIT_COORD","dominantSpecies","topThreeSpecies","forestType"
51,"I16","Quercus robur","Quercus robur, Betula pendula, Pinus sylvestris","Mixed"
51,"R23","Pinus sylvestris","Quercus robur, Betula pubescens, Pinus sylvestris","Mixed"
51,"P22","Pinus sylvestris","Quercus robur, Betula pubescens, Pinus sylvestris","Mixed"
51,"T22","Pinus sylvestris","Quercus robur, Betula pubescens, Pinus sylvestris","Mixed"
51,"S20","Pinus sylvestris","Quercus robur, Betula pubescens, Pinus sylvestris","Mixed"
51,"O21","Pinus sylvestris","Quercus robur, Pinus sylvestris, Rhamnus cathartica","Mixed"
51,"Q19","No dominant species","Quercus robur, Pinus sylvestris, Betula","Mixed"
51,"V10","No dominant species","Quercus robur, Pinus sylvestris, Rhamnus cathartica","Mixed"
51,"M23","Pinus sylvestris","Quercus robur, Pinus sylvestris, unknown or not determined","Mixed"
51,"N22","No dominant species","Quercus robur, Betula pubescens, Pinus sylvestris","Mixed"
51,"U21","Pinus sylvestris","Quercus robur, Pinus sylvestris","Mixed"
51,"O23","Quercus robur","Quercus robur, Betula pubescens, Pinus sylvestris","Mixed"
51,"P10","No dominant species","Quercus robur, Sorbus aucuparia, Pinus sylvestris","Mixed"
51,"T09","No dominant species","Quercus robur, Betula pendula, Pinus sylvestris","Mixed"
51,"U08","No dominant species","Quercus robur, Pinus sylvestris, Betula","Mixed"
51,"V20","No dominant species","Quercus robur, Betula pendula, Pinus sylvestris","Mixed"
51,"V09","Quercus robur","Quercus robur, Pinus sylvestris, unknown or not determined","Mixed"
51,"V06","Pinus sylvestris","Betula pendula, Pinus sylvestris, unknown or not determined","Mixed"
51,"G15","Quercus robur","Quercus robur, Betula pendula, Pinus sylvestris","Mixed"
51,"F15","No dominant species","Quercus robur, Betula pendula, Pinus sylvestris","Mixed"
51,"G12","No dominant species","Quercus robur, Betula pendula, Pinus sylvestris","Mixed"
51,"M14","Quercus robur","Quercus robur, Pinus sylvestris","Mixed"
51,"K08","Pinus sylvestris","Quercus robur, Sorbus aucuparia, Pinus sylvestris","Mixed"
51,"O06","No dominant species","Quercus robur, Betula pendula, Pinus sylvestris","Mixed"
51,"O09","No dominant species","Quercus robur, Sorbus aucuparia, Pinus sylvestris","Mixed"
51,"P13","No dominant species","Quercus robur, Betula pendula, Pinus sylvestris","Mixed"
51,"L06","No dominant species","Quercus robur, Sorbus aucuparia, Rhamnus cathartica","Deciduous"
51,"P06","Quercus robur","Quercus robur, Pinus sylvestris, unknown or not determined","Mixed"
51,"R13","No dominant species","Quercus robur, Betula pendula, Pinus sylvestris","Mixed"
51,"H13","Quercus robur","Quercus robur, Betula pubescens, Pinus sylvestris","Mixed"
51,"H07","No dominant species","Quercus robur, Betula pubescens, Pinus sylvestris","Mixed"
51,"M09","No dominant species","Quercus robur, Pinus sylvestris, Rhamnus cathartica","Mixed"
51,"K09","Pinus sylvestris","Quercus robur, Pinus sylvestris, Rhamnus cathartica","Mixed"
51,"K04","Quercus robur","Quercus robur, Betula pendula, Pinus sylvestris","Mixed"
51,"N05","No dominant species","Quercus robur, Betula pendula, Pinus sylvestris","Mixed"
51,"O15","Pinus sylvestris","Fagus sylvatica, Quercus robur, Pinus sylvestris","Mixed"
51,"F14","Quercus robur","Quercus robur, Betula pendula, Pinus sylvestris","Mixed"
51,"J05","No dominant species","Quercus robur, Betula pendula, Sorbus aucuparia","Deciduous"
51,"I10","Quercus robur","Quercus robur, Betula pendula, Pinus sylvestris","Mixed"
51,"J12","Quercus robur","Quercus robur, Betula pendula, Pinus sylvestris","Mixed"
51,"N21","No dominant species","Quercus robur, Pinus sylvestris, Rhamnus cathartica","Mixed"
51,"S21","No dominant species","Quercus robur, Betula pubescens, Pinus sylvestris","Mixed"
51,"G09","No dominant species","Quercus robur, Betula pendula, Pinus sylvestris","Mixed"
51,"I08","Pinus sylvestris","Quercus robur, Pinus sylvestris, Rhamnus cathartica","Mixed"
51,"U16","Quercus robur","Quercus robur, Pinus sylvestris, unknown or not determined","Mixed"
51,"S17","Pinus sylvestris","Quercus robur, Betula pubescens, Pinus sylvestris","Mixed"
51,"S15","Quercus robur","Quercus robur, Betula pendula, Pinus sylvestris","Mixed"
51,"V15","Pinus sylvestris","Quercus robur, Betula pubescens, Pinus sylvestris","Mixed"
