"RSV_CODE","frequentSpecies","forestType"
1,"Quercus robur, Betula pendula, Pinus sylvestris","Mixed"
2,"Quercus robur, Betula pendula, Pinus sylvestris","Mixed"
3,"Quercus robur, Betula pendula, Pinus sylvestris","Mixed"
4,"Pinus sylvestris, Pinus nigra, Quercus rubra","Mixed"
5,"Quercus robur, Betula pendula, Sorbus aucuparia","Deciduous"
6,"Quercus robur, Alnus glutinosa, Betula pendula","Deciduous"
7,"Betula pendula, Pinus sylvestris, Pseudotsuga menziesii","Mixed"
8,"Quercus robur, Alnus glutinosa, Salix","Deciduous"
9,"Fagus sylvatica, Quercus robur, Larix kaempferi","Mixed"
10,"Fagus sylvatica, Betula pendula, Pinus sylvestris","Mixed"
11,"Quercus robur, Pinus nigra, Prunus serotina","Mixed"
12,"Quercus robur, Pinus nigra, Betula","Mixed"
13,"Betula pendula, Pinus sylvestris, Pinus nigra","Mixed"
14,"Pinus sylvestris, Pseudotsuga menziesii, Larix kaempferi","Coniferous"
15,"Betula pendula, Pinus sylvestris, Pinus nigra","Mixed"
16,"Quercus robur, Alnus glutinosa, Betula pubescens","Deciduous"
17,"Betula pendula, Betula pubescens, Salix cinerea","Deciduous"
18,"Fagus sylvatica, Picea abies, Larix kaempferi","Mixed"
19,"Pinus sylvestris, Pseudotsuga menziesii, Larix kaempferi","Coniferous"
20,"Quercus robur, Crataegus, Betula","Deciduous"
21,"Quercus robur, Betula pendula, Pinus sylvestris","Mixed"
22,"Quercus robur, Betula pendula, Pinus sylvestris","Mixed"
23,"Pinus sylvestris, Pinus nigra, Betula","Mixed"
24,"Carpinus betulus, Tilia cordata, Corylus avellana","Deciduous"
25,"Quercus robur, Betula pendula, Pinus sylvestris","Mixed"
26,"Alnus glutinosa, Salix alba, Sambucus nigra","Deciduous"
27,"Alnus glutinosa, Betula pubescens, Salix cinerea","Deciduous"
28,"Salix, Sambucus","Deciduous"
29,"Quercus robur, Betula pendula, Pinus sylvestris","Mixed"
30,"Salix alba, Cornus mas, Salix","Deciduous"
31,"Acer campestre, Picea abies, Pinus sylvestris","Mixed"
32,"Quercus robur, Corylus avellana, unknown or not determined","Mixed"
33,"Quercus robur, Fraxinus excelsior, Populus","Deciduous"
34,"Quercus robur, Populus tremula, Crataegus monogyna","Deciduous"
35,"Quercus robur, Alnus glutinosa, Corylus avellana","Deciduous"
36,"","NA"
37,"","NA"
38,"Fagus sylvatica, Quercus robur, unknown or not determined","Mixed"
39,"Quercus robur, Corylus avellana, Alnus","Deciduous"
39,"Quercus robur, Corylus avellana, Alnus","Deciduous"
40,"","NA"
41,"Betula pendula, Pinus sylvestris, Pseudotsuga menziesii","Mixed"
42,"","NA"
43,"Quercus robur, Acer platanoides, Sorbus aucuparia","Deciduous"
44,"Fagus sylvatica, Quercus petraea, Pinus sylvestris","Mixed"
45,"Fagus sylvatica, Quercus robur, Betula","Deciduous"
46,"Quercus robur, Sorbus aucuparia, Ilex aquifolium","Deciduous"
47,"Quercus robur, Betula pendula, Pinus sylvestris","Mixed"
48,"Fraxinus excelsior, Alnus glutinosa, Betula pubescens","Deciduous"
49,"Fagus sylvatica, Quercus robur, Pinus sylvestris","Mixed"
50,"Quercus robur, Betula pubescens, Pinus sylvestris","Mixed"
51,"Quercus robur, Betula pendula, Pinus sylvestris","Mixed"
52,"Quercus petraea, Quercus robur, Betula pendula","Deciduous"
53,"Ulmus minor, Corylus avellana, Castanea sativa","Deciduous"
54,"","NA"
56,"Quercus robur, Betula pendula, Pinus sylvestris","Mixed"
57,"Alnus glutinosa, Sambucus nigra, Populus balsamifera","Deciduous"
58,"","NA"
59,"Quercus robur, Fraxinus excelsior, Alnus glutinosa","Deciduous"
60,"Quercus robur, Pinus sylvestris, Prunus serotina","Mixed"
